XYXYXy,XYXYXYYYxyyyy,r2,0,0,True
XXYXY,XYxYXyXYxy,r2,0,8,True
XYXYYXyxY,XXYYYYXYXYXY,r2,3,7,True
XXXyXYxy,XXYxYXXyxyXXy,r2,3,1,True
XXYxYY,XXyxYYY,r2,0,0,True
XXYXXYY,XXYxyyxyxY,r2,0,0,True
XXyxY,XXYXXYxxYxyxy,r2,1,9,False
XXYXY,XXXYXYYXXyxY,r2,0,6,True
XYXyxY,XXYXYXYYYYXyy,r2,0,3,True
XXYYxxy,XXYxxyyXYY,r2,0,6,True
XYxYYYxy,XYXyxyXyyxy,r2,4,6,False
XXyxY,XXXYxYxxyXYxxy,r2,0,1,False
XXYxY,XYXYXYYxyxyy,r2,2,2,True
XXyxY,XXYXXYYXYXyxyy,r2,0,3,True
XXYxY,XXXyxyXYYYxYxy,r2,0,9,False
XXyxY,XXyyxyXyxYXYY,r2,0,10,True
XYXyxY,XXyXXyxYxxYxY,r2,0,8,True
XYYxyXYYxyy,XYYxyyyyXyXyxyyyy,r2,0,0,True
XXYxY,XXYXyxxYxyy,r2,1,8,False
XXYXY,XXYYxyyXyxYXY,r2,0,0,True
XXyxY,XXXXyyyxYxY,r2,0,0,True
XXyxY,XXXXXYYXXyXYxy,r2,0,7,True
XYYxyyy,XXYxYYYYY,r2,0,3,False
XXYXY,XXYXXyXYXyxYYY,r2,0,0,True
XXYxY,XXYYxyxYXyxYXY,r2,0,0,True
XXyxY,XXXYXYYxyxxy,r2,0,1,False
XYXyxY,XXXYxyyyXYYxY,r2,1,11,False
XXYXY,XXYxxyyyXYYY,r2,0,0,True
XXyxY,XXYxyyXYxYXyXY,r2,0,9,False
XYXyxY,XXXYxYYXyxyxY,r2,1,10,True
XXYxYxyXy,XXYxYXyxYXy,r2,0,0,True
XYXyxY,XXyxYxyXyxYxY,r2,0,11,True
XXyxY,XXYxYYYxyXyXy,r2,0,5,False
XXyxY,XXXXXYxYxyXYXy,r2,0,5,False
XYYYXYxY,XYYxyyyXyxY,r2,0,5,False
XXYxyXYxy,XXXYxyXYXXyXY,r2,0,6,True
XYxYxYYxy,XYxYxYxyXy,r2,0,0,True
XXyxYxY,XXYxxYxyXyXy,r2,0,5,False
XXYXY,XXXyxYxxyyxxY,r2,0,0,True
XXyxY,XXyxYxyXYYXyXY,r2,0,0,True
X,XXXXy,r2,0,1,True
XXyxY,XXXyxYYXyXY,r2,0,6,True
XXyyxY,XXXXyXyyXXyxy,r2,2,8,True
XXyxY,XXYYxYXyXyxxyy,r2,0,6,True
XYXyxY,XXYXYXyxxYY,r2,0,3,True
XXYxYXy,XYxYxyyy,r2,0,5,False
